"Run","Conc.O","Temp","Rate"
1,134.5,623,218
2,108,623,189
3,68.6,623,192
4,49.5,623,174
5,41.7,623,152
6,29.4,623,139
7,22.5,623,118
8,17.2,623,120
9,17,623,122
10,22.8,623,132
11,41.3,623,167
12,59.6,623,208
13,119.7,623,216
14,158.2,623,294
15,23.3,648,229
16,40.8,648,296
17,140.3,648,547
18,140.8,648,582
19,141.2,648,480
20,140,648,493
21,121.2,648,513
22,104.7,648,411
23,40.8,648,349
24,22.5,648,226
25,55.2,648,338
26,55.4,648,351
27,29.5,648,295
28,30,648,294
29,16.3,648,233
30,16.5,648,222
33,20.8,648,239
36,20.6,648,217
39,16,673,429
40,23.5,673,475
41,132.8,673,1129
42,107.7,673,957
43,68.5,673,745
44,47.2,673,649
45,42.5,673,742
46,30.1,673,662
47,11.2,673,373
48,17.1,673,440
49,65.8,673,662
50,108.2,673,724
51,123.5,673,915
52,160,673,944
53,66.4,673,713
54,66.5,673,736
